Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Label
22,549.0,54,129,32284,803,1424,94,225.8,959,8,273.33,851831.67,24972.89,6396.6,1731.61,0,1,0,0,1,0,BENIGN
8080,68.0,142,114,24342,1639,859,64,283.87,1161,37,219.5,487439.35,45162.45,4211.8,1209.5,0,0,0,1,0,0,BENIGN
443,40.0,100,139,21871,33598,178,21,278.18,407,84,402.35,39873.19,13873.23,1542.1,2184.82,0,0,0,0,1,0,BENIGN
8080,15.0,28,75,18521,51871,730,37,113.02,422,64,53.63,62434.66,10269.32,1951.53,3197.61,0,0,0,1,0,0,BENIGN
21,64.0,25,112,33868,7608,428,97,20.97,778,72,161.09,124280.44,1893.37,9721.52,1193.24,0,0,0,0,1,0,BENIGN
53,1.0,23,52,6489,46227,794,60,311.95,893,76,171.35,49400.81,5895.61,6164.42,2576.89,0,0,0,0,0,0,BENIGN
445,7694.0,135,129,32574,8789,92,25,457.3,578,63,451.79,990708.95,23300.22,5175.86,4278.68,0,0,0,1,0,0,DDoS
21,14.0,104,172,42455,94214,1326,26,418.4,835,96,476.98,460942.27,45856.56,5586.6,1977.03,0,0,0,0,0,0,BENIGN
80,27.0,63,26,5987,40397,356,33,323.74,1163,21,303.39,915975.55,17163.99,5425.12,4426.53,0,1,0,0,1,0,BENIGN
22,6.0,79,97,6110,24309,1029,92,231.32,1499,41,164.77,490109.19,8137.58,7444.99,810.76,0,0,0,0,1,0,BENIGN
445,738.0,12,168,4429,81441,244,29,30.46,301,1,130.15,122055.64,38042.47,7652.08,2937.48,0,0,0,0,0,0,BENIGN
80,1505.0,76,129,29590,69195,390,78,278.09,152,53,86.66,807376.9,17366.79,1049.73,1892.23,0,0,0,1,1,0,DoS Hulk
22,103.0,68,164,199,78933,142,6,298.64,212,34,264.45,816641.74,15600.65,9789.82,1907.44,0,0,0,0,0,0,BENIGN
21,30.0,76,170,32855,22632,1061,45,38.62,1418,9,172.76,543647.6,23459.28,5299.4,3867.43,0,0,0,0,0,0,BENIGN
445,3.0,38,162,20553,63733,1359,0,197.35,459,50,425.17,175374.39,27216.33,7911.97,4386.03,0,1,0,0,0,0,BENIGN
445,273.0,23,48,31185,70971,1476,73,483.84,1217,80,198.54,726827.54,36683.33,7862.88,2379.44,0,0,0,1,1,0,DoS GoldenEye
8080,30.0,128,80,43158,22527,257,96,93.25,756,61,95.14,82795.55,8045.97,1895.54,2440.68,0,0,0,1,0,0,BENIGN
80,19.0,93,1,3459,5914,984,8,108.31,448,13,186.99,583457.11,37765.74,214.16,1486.96,0,0,0,0,1,0,BENIGN
80,42.0,78,178,17309,82086,868,55,211.86,117,73,356.81,641804.73,19665.9,7244.08,1434.16,0,0,0,0,0,0,BENIGN
21,1993.0,107,1,4466,48675,1399,7,438.64,230,11,442.7,577308.46,17937.64,1612.94,2536.78,0,0,0,0,0,0,DoS Hulk
22,12.0,54,131,19441,19347,1201,1,207.38,478,69,452.59,838639.45,18375.43,2326.68,1472.15,1,1,0,1,0,0,BENIGN
80,28.0,62,144,24713,92101,473,45,147.0,603,61,239.49,861963.6,46903.33,7110.87,1146.83,0,0,1,0,0,0,BENIGN
21,3.0,33,116,20217,49049,437,49,383.53,989,77,450.03,658582.04,21838.82,790.29,3050.54,0,1,0,0,1,0,BENIGN
