Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Label
80,180.0,69,42,766,89208,692,19,94.86,1009,58,119.32,568868.29,17299.86,7320.29,4656.21,0,1,0,0,0,0,BENIGN
53,584.0,129,35,8883,23560,783,80,273.38,1209,45,180.95,720889.3,47005.03,7949.31,3538.11,0,0,0,0,0,0,DDoS
21,161.0,120,168,48135,30619,878,23,342.91,253,40,270.33,917915.38,21559.2,3107.59,1295.79,0,0,0,0,1,0,BENIGN
53,63.0,74,147,22751,47000,506,96,69.27,618,7,72.4,815155.38,24211.62,8947.11,926.06,0,0,0,1,0,0,BENIGN
8080,73.0,51,5,38005,16507,1222,25,473.63,1473,2,191.99,199015.41,26638.32,6062.79,2950.48,1,1,0,0,1,0,BENIGN
80,185.0,9,197,36656,9401,510,50,326.84,677,96,393.33,624010.28,42776.3,5757.18,1014.0,0,0,0,0,1,0,BENIGN
53,15.0,76,127,3994,19432,1056,6,128.62,30,52,42.83,896432.26,4601.07,5168.22,2624.74,0,0,0,1,1,0,BENIGN
53,47.0,113,104,14501,28591,647,94,106.11,458,11,120.5,47537.33,36520.52,730.07,958.95,0,1,0,1,1,0,BENIGN
443,18.0,140,168,23524,26526,1408,23,246.4,365,16,282.59,124828.89,19475.88,346.76,1350.3,0,0,0,0,1,0,BENIGN
80,353.0,36,175,26064,80547,1189,18,341.28,275,0,311.07,699951.92,3058.73,4761.79,4351.16,0,0,0,0,1,0,BENIGN
8080,40.0,40,185,33044,26223,768,95,137.4,245,20,375.41,649040.34,26747.58,4304.85,4204.65,0,0,1,0,1,0,BENIGN
443,148.0,141,104,16988,3206,527,7,48.03,705,76,325.6,206645.01,38616.22,2345.1,4910.87,0,1,0,1,1,0,PortScan
445,3441.0,40,53,45392,54329,1049,31,470.86,1483,5,29.18,381504.94,7984.41,6496.64,1780.16,0,0,0,1,0,0,DoS Hulk
22,864.0,26,95,14008,99528,848,13,431.73,724,4,288.01,313336.28,28836.24,3612.0,1547.2,0,0,0,0,1,0,DoS Hulk
53,97.0,120,146,27520,79159,1059,60,49.59,1115,62,453.38,673757.91,13037.57,9061.27,1068.82,0,0,0,0,1,0,BENIGN
22,77.0,115,53,18852,78679,253,85,80.64,179,80,31.11,506671.83,24041.72,7579.94,1244.38,0,0,1,0,1,0,BENIGN
445,4421.0,112,66,25994,17830,600,69,238.27,706,22,217.24,984510.98,17145.26,8626.29,1519.85,0,1,0,0,0,0,PortScan
8080,144.0,70,145,46609,77450,1392,55,184.67,545,60,403.42,585897.83,9547.08,3505.95,1932.83,0,0,0,0,1,0,DoS GoldenEye
8080,144.0,124,172,23641,6643,1199,15,468.25,563,49,140.04,732163.12,25408.36,2717.99,2843.94,0,0,0,0,0,0,BENIGN
22,194.0,61,161,40218,91465,1018,13,492.15,1237,93,489.28,873870.57,15698.76,8011.03,1339.91,0,0,0,1,1,0,BENIGN
8080,175.0,12,125,41267,55442,925,88,357.43,562,27,437.38,509120.05,4895.62,8109.74,1775.65,1,0,0,1,0,0,BENIGN
443,9.0,78,12,35678,2008,73,35,248.26,1216,23,280.36,273413.82,23554.9,3002.56,3358.76,0,0,0,0,0,0,BENIGN
445,160.0,38,102,24027,23734,801,31,440.04,1363,45,29.93,156338.18,44095.86,3564.09,516.1,0,0,0,1,1,0,BENIGN
80,200.0,13,181,27481,16637,1168,89,268.55,466,35,251.41,804336.91,33730.7,5936.68,3386.95,0,0,0,1,0,0,BENIGN
443,101.0,37,190,33081,43472,1431,53,431.9,887,24,298.0,160933.33,28127.32,1049.95,2360.48,0,0,0,1,0,0,DoS GoldenEye
443,258.0,38,157,48449,63874,363,79,20.86,518,78,269.16,898380.83,28631.97,6082.21,1569.35,0,0,0,1,1,0,BENIGN
21,103.0,106,129,11613,80895,1494,33,276.3,902,38,223.0,419432.64,43992.32,6813.5,1064.12,0,0,0,0,1,0,BENIGN
22,129.0,14,50,45569,80369,316,61,377.76,87,68,424.69,631714.45,18138.32,8749.94,1247.19,0,0,0,0,1,0,BENIGN
80,451.0,53,4,4721,28488,52,74,342.65,687,20,316.77,869374.05,38834.0,6505.9,3360.26,0,0,0,0,1,0,DoS Hulk
53,181.0,17,125,12636,55104,747,66,482.78,1177,48,410.12,916977.91,49282.67,6980.62,811.5,1,0,0,0,1,0,BENIGN
443,123.0,125,112,16386,39485,1329,18,103.08,799,61,66.71,15352.63,21981.64,6576.16,3277.62,0,0,0,0,1,0,BENIGN
21,72.0,66,18,24392,23771,732,1,492.04,336,8,397.09,757521.03,44154.5,3736.85,1522.73,0,0,0,0,1,0,BENIGN
21,2930.0,61,74,42143,37860,1438,54,310.57,436,21,247.27,980835.91,40123.61,1285.33,2548.0,0,0,0,1,0,0,DoS Hulk
80,118.0,70,43,22083,51068,306,0,131.79,154,71,54.58,145823.29,20614.32,3423.76,3669.58,0,0,0,0,1,0,BENIGN
