dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,attack_cat,label
19.353,tcp,dns,CON,226,252,74853,118321,1207.11,31,252,978218.3,12964.0,6,9,Generic,1
8.448,tcp,smtp,INT,278,232,58398,96399,635.47,255,32,218705.0,667787.8,10,2,Normal,0
13.851,tcp,dns,CON,41,122,84117,31335,2836.93,128,60,25831.9,527831.0,6,17,Exploits,1
11.12,tcp,dns,INT,80,320,98966,52888,639.71,254,0,178282.2,1721398.0,12,11,Normal,0
9.671,tcp,dns,INT,213,166,80020,94935,4208.96,64,252,309562.4,1564112.7,7,16,Normal,0
17.158,tcp,http,FIN,169,272,108131,189248,1288.99,64,29,135171.1,1337195.5,1,0,Exploits,1
12.993,tcp,-,REQ,83,253,111071,51651,1939.2,128,252,738911.0,1536936.5,5,17,Fuzzers,1
13.845,udp,dns,FIN,243,197,5624,32692,2333.2,128,32,359085.6,493637.0,6,3,Generic,1
28.038,udp,ftp-data,FIN,276,223,97646,93504,3736.54,31,0,181636.8,1673028.3,7,18,Generic,1
3.098,udp,-,CON,34,170,114056,68830,3011.73,255,0,555399.8,1258416.2,11,16,Normal,0
8.843,tcp,dns,INT,227,260,25548,209073,4354.38,64,29,911698.7,100127.1,14,15,Exploits,1
1.65,tcp,-,CON,38,165,63578,213602,4005.72,64,60,162110.9,1779352.3,9,13,Normal,0
14.103,tcp,http,FIN,95,87,12486,239256,4616.3,128,32,90410.0,1416708.8,8,14,Normal,0
8.138,tcp,dns,CON,13,97,61658,74533,4785.52,128,32,348899.4,1321938.2,12,5,Generic,1
11.478,udp,ssh,REQ,144,301,32301,179223,1834.41,128,252,989194.5,213113.1,13,19,Normal,0
16.728,tcp,dns,FIN,59,166,56364,78889,4432.96,255,252,655053.1,907172.7,14,11,Normal,0
23.616,tcp,dns,RST,111,261,119959,118635,3081.31,128,0,624291.4,1557094.8,1,14,Generic,1
1.511,tcp,dns,FIN,33,5,10989,9340,397.81,64,60,680103.3,1964198.8,13,18,Normal,0
5.072,tcp,-,FIN,42,17,70674,121646,435.2,64,60,830588.4,1403549.8,8,4,Generic,1
5.612,udp,dns,FIN,103,192,56989,159493,2339.52,64,60,866053.4,1925652.3,12,1,Generic,1
36.303,tcp,http,CON,44,335,50480,181022,179.59,128,29,61853.2,1632889.2,9,0,Normal,0
0.652,tcp,http,REQ,262,94,77644,108927,2876.76,255,60,677273.6,337853.8,12,5,Normal,0
40.883,ospf,-,FIN,270,207,37173,238385,3093.96,128,29,808484.4,920477.6,1,11,Normal,0
8.039,tcp,-,INT,250,326,57152,248915,4121.71,64,29,980797.1,1410344.9,13,19,Normal,0
1.629,udp,smtp,CON,230,179,3982,246770,4234.67,31,252,900626.1,1991196.9,13,7,Normal,0
3.356,udp,http,FIN,251,155,18386,196645,966.07,31,32,190068.0,1091250.3,10,9,Reconnaissance,1
26.745,tcp,-,FIN,281,41,55468,37729,512.43,254,0,335754.8,544353.9,9,12,Normal,0
6.727,tcp,dns,INT,249,298,30127,74934,484.37,255,60,886485.1,1418540.8,13,1,Generic,1
7.164,tcp,ftp-data,FIN,231,1,100198,151537,2598.1,254,0,562422.7,185486.7,13,12,Exploits,1
4.532,udp,dns,FIN,13,128,114311,131192,4865.94,64,252,932900.5,745186.7,14,13,Generic,1
20.174,unas,ftp-data,FIN,5,310,53002,170705,2031.15,128,252,410588.9,444038.8,8,8,Generic,1
4.825,tcp,-,FIN,56,209,142,189239,4230.14,31,0,54256.7,272960.2,12,10,Exploits,1
14.749,udp,smtp,CON,102,142,23652,229211,3063.12,64,29,192311.1,1688634.1,3,7,Normal,0
39.476,tcp,-,FIN,70,243,118391,40082,4138.41,255,0,359510.4,507359.8,13,17,Exploits,1
7.218,tcp,-,FIN,280,174,98428,174048,3581.38,255,32,972248.7,1908160.2,11,13,Normal,0
5.21,tcp,-,CON,196,285,76872,86522,3494.49,31,252,593535.5,901308.4,0,1,Normal,0
12.537,udp,http,FIN,64,291,83148,97650,3480.64,64,60,228975.1,1460967.5,12,13,Normal,0
3.447,tcp,smtp,FIN,252,238,93442,34502,1371.47,255,32,552357.2,1972030.2,8,4,Normal,0
5.785,tcp,smtp,REQ,202,158,47983,97448,637.83,255,29,627794.1,132780.1,4,2,Generic,1
0.004,tcp,http,REQ,187,340,28832,85570,2456.48,64,29,377198.1,1045910.2,4,10,Generic,1
11.29,tcp,http,REQ,191,279,6166,64678,513.26,128,60,19808.9,349162.0,8,3,Normal,0
0.746,tcp,http,CON,65,74,37484,39964,1499.53,254,252,800004.0,1430460.4,11,7,Normal,0
3.856,tcp,http,FIN,249,235,33996,231433,2190.46,254,29,929745.6,144256.1,4,9,Normal,0
8.914,arp,-,CON,113,248,75733,54936,3989.87,128,60,181876.6,745109.4,13,10,Fuzzers,1
1.256,tcp,smtp,RST,31,338,86298,110208,2538.09,64,60,342272.1,788423.3,14,0,Fuzzers,1
2.478,udp,ftp-data,FIN,44,127,56871,40149,3098.08,254,0,452858.1,450098.1,8,3,Normal,0
19.818,tcp,dns,FIN,66,291,101885,97235,3364.36,64,0,76577.8,961820.8,4,0,Normal,0
5.686,tcp,dns,INT,11,248,13264,103795,3309.44,255,0,513819.9,75589.7,1,9,Exploits,1
47.477,tcp,dns,INT,180,84,29697,153483,1221.18,255,29,666897.6,270111.2,14,2,Exploits,1
15.363,tcp,http,FIN,111,114,106374,7984,4748.25,64,32,643677.4,166418.4,2,12,Normal,0
6.608,tcp,smtp,CON,94,286,21976,42990,4685.83,254,60,618022.4,935473.5,13,18,Normal,0
5.957,tcp,ssh,FIN,157,262,84101,145778,457.99,255,0,900959.0,1462512.2,12,16,DoS,1
4.588,ospf,-,FIN,285,200,61796,245293,3084.27,31,32,690483.6,1352964.4,5,0,Reconnaissance,1
1.763,unas,dns,FIN,44,294,52447,69987,4831.82,31,0,625808.1,1895342.7,5,11,Normal,0
13.244,tcp,http,RST,253,144,78558,179402,3427.3,128,0,616165.3,819350.0,7,5,Normal,0
7.357,tcp,http,INT,181,47,85304,245275,161.89,254,32,422750.6,373427.4,3,10,Normal,0
1.463,tcp,dns,FIN,203,316,103066,28729,4916.5,31,32,221264.4,1805823.5,8,16,Normal,0
1.325,tcp,dns,INT,149,81,34856,32120,2970.11,128,32,749546.7,1793757.5,8,8,Normal,0
52.712,tcp,dns,INT,159,338,116583,166047,2385.49,64,252,956447.7,115657.6,12,0,Exploits,1
9.783,udp,smtp,REQ,103,158,63690,16093,4683.25,64,32,931070.9,1645107.6,6,7,Analysis,1
10.614,tcp,http,CON,186,76,57336,212809,909.43,128,29,473158.0,1565918.9,3,14,Generic,1
5.437,tcp,-,FIN,282,199,93166,134974,4909.63,31,252,938239.4,1171032.0,4,4,Normal,0
83.509,udp,http,RST,118,346,40707,162313,1710.18,31,60,733935.9,944749.6,14,13,Normal,0
7.277,udp,http,FIN,198,237,14380,102313,3266.94,31,32,223120.1,906698.1,12,5,Exploits,1
23.877,tcp,smtp,FIN,298,339,23104,11388,534.63,255,252,954025.5,1447888.4,11,14,Normal,0
9.766,tcp,dns,FIN,212,89,27155,206529,829.25,64,32,583486.2,20924.7,14,0,Fuzzers,1
14.934,tcp,http,INT,86,9,44777,225874,3059.49,254,29,340111.9,1778207.4,9,3,Fuzzers,1
6.606,ospf,ftp-data,FIN,65,322,38525,144009,4157.89,31,60,962882.1,1936070.1,0,0,Normal,0
23.216,arp,dns,FIN,255,343,76041,155554,990.94,128,32,754129.0,1873672.5,9,13,Exploits,1
0.701,tcp,http,INT,210,113,72876,33253,2627.68,31,0,181514.0,1900687.4,11,9,Normal,0
0.495,udp,smtp,CON,25,177,14984,247274,2438.99,31,252,594282.6,1172098.3,13,8,Normal,0
2.044,tcp,http,CON,104,142,90329,79103,3103.77,128,32,650097.3,1672697.1,3,13,Normal,0
3.994,tcp,dns,CON,88,87,20318,142395,3784.23,254,0,577286.6,1442545.4,1,8,Normal,0
2.377,tcp,http,CON,213,137,108596,158310,2640.88,128,252,11220.4,515049.1,8,19,Exploits,1
1.293,tcp,http,RST,157,168,95118,30669,652.69,31,252,696759.1,146443.8,5,0,Normal,0
14.376,tcp,smtp,FIN,35,254,104896,41589,4340.32,64,32,736087.0,1701742.5,13,9,Generic,1
2.62,udp,smtp,FIN,7,251,67610,230389,3113.23,64,32,183133.9,1028029.8,9,8,DoS,1
4.818,tcp,dns,FIN,138,239,119417,43183,2537.04,255,60,653437.5,1188651.7,14,6,Normal,0
1.153,tcp,http,FIN,148,203,43756,88196,3161.68,31,29,639897.5,1554696.7,10,14,Exploits,1
1.818,tcp,dns,CON,224,177,39592,159868,4537.8,128,0,262899.3,1315990.3,5,18,Normal,0
26.765,arp,dns,FIN,103,35,73553,154908,2282.3,255,32,345514.6,166631.3,3,9,Generic,1
1.857,tcp,dns,CON,84,20,43933,9930,901.36,254,29,881725.9,1956186.7,2,18,Exploits,1
32.122,udp,http,FIN,277,213,94189,80113,146.21,31,29,270903.2,380108.7,13,1,Normal,0
12.29,tcp,dns,FIN,236,255,78675,186937,796.89,31,60,71868.3,1217606.3,10,10,Normal,0
32.01,tcp,smtp,FIN,105,162,47548,17097,3564.78,254,252,59497.6,294193.3,2,16,Exploits,1
